id;unique_id;status;total_amount;shipping_cost;shipping_provider;shipping_method;full_name;phone;email;address;created_at;created_by;updated_at
1;tantôt à l'exception de minuscule;CONFIRMED;23054.83;10392.45;ZR;SHIPPING_PROVIDER;gens quand assez;+33 180118908;Zache.Meunier@yahoo.fr;clac poursuivre;2025-09-23T11:35:05;à seule fin de;2025-09-22T23:49:22
2;rencontrer;CONFIRMED;18857.85;10989.18;ZR;SHIPPING_PROVIDER;cependant;0726583361;Yvonne_Hubert@gmail.com;trop reculer attacher;2025-09-23T11:56:52;loufoque;2025-09-23T03:48:13
3;reparaître;PENDING;16785.93;10284.04;YALIDINE;SHIPPING_PROVIDER;constituer à l'insu de afin que;0379734118;Trajan33@yahoo.fr;grossir affable;2025-09-23T06:31:51;afin de bzzz ensemble;2025-09-23T11:09:08
4;atchoum outre hirsute;SHIPPED;32390.35;6504.58;YALIDINE;SHIPPING_PROVIDER;plancher adorable par suite de;+33 145378255;Diane32@gmail.com;avant que nonobstant;2025-09-23T07:11:38;cadre étant donné que;2025-09-23T03:48:25
5;boucher;PENDING;17834.71;26917.43;YALIDINE;HOME_DELIVERY;atchoum vlan;+33 396812114;Antide.Gaillard70@yahoo.fr;après que au dépens de blesser;2025-09-23T12:57:11;police insipide;2025-09-23T08:06:44
6;pff pff moderne;DELIVERED;7620.85;3943.18;YALIDINE;SHIPPING_PROVIDER;au point que peu ding;+33 318863302;Armande.Carpentier69@yahoo.fr;songer;2025-09-23T04:59:49;tôt ouin avant;2025-09-23T13:01:50
7;disperser compliquer;SHIPPED;13005.25;28820.08;ZR;HOME_DELIVERY;affable badaboum prout;0577727831;Aubry.Meyer41@yahoo.fr;personnel professionnel coin-coin que;2025-09-23T07:08:28;fidèle triathlète;2025-09-23T14:11:33
8;tolérer;CONFIRMED;28621.19;19479.82;ZR;SHIPPING_PROVIDER;dans la mesure où jusqu’à ce que toutefois;0126331976;Amalthee.Prevost@yahoo.fr;basculer parfois;2025-09-23T14:52:06;souple;2025-09-23T16:22:18
9;spécialiste;SHIPPED;3255.5;30277.11;YALIDINE;SHIPPING_PROVIDER;raconter retrouver dring;0740291077;Ludolphe53@gmail.com;gratis de crainte que;2025-09-23T12:13:00;au point que justifier durant;2025-09-23T13:15:40
10;réserver;SHIPPED;11974.44;27997.49;ZR;HOME_DELIVERY;glouglou neutre;0550683867;Nadine_Leroux46@hotmail.fr;au-dessus parce que;2025-09-23T18:31:48;sage tsoin-tsoin avex;2025-09-23T09:30:20
